Review_ID,Review_Text,Source
1,"This product is amazing and works perfectly",Amazon
2,"Very bad experience, quality is poor",Amazon
3,"I am satisfied with the service",Social Media
4,"Worst purchase ever, totally disappointed",Amazon
5,"The phone is good but battery life is average",News
6,"Excellent performance and great value for money",Amazon
7,"Not happy with the delivery delay",Social Media
8,"The update improved the user experience",News
9,"Terrible customer support",Social Media
10,"I love this product and will recommend it",Amazon
